Symbol,Date,Adj Close
AAPL,1/24/2012,52.613056
IBM,6/1/2009,80.50779
MSFT,7/7/2014,37.479153
AAPL,6/9/2016,94.837273
MSFT,12/27/2018,100.378166
AAPL,10/26/2015,107.997643
IBM,4/4/2018,145.459503
AAPL,8/1/2013,58.379593
MSFT,12/7/2015,51.815018
MSFT,12/3/2014,43.45533
AAPL,11/11/2011,48.134045
MSFT,10/18/2012,24.984335
IBM,10/23/2012,150.440155
MSFT,6/20/2012,26.023052
IBM,10/29/2014,133.928665
IBM,8/10/2018,139.364487
AAPL,4/3/2014,70.153061
MSFT,9/29/2011,20.975775
AAPL,12/3/2014,107.244217
MSFT,11/18/2011,21.009157
IBM,8/26/2011,130.891861
AAPL,1/28/2016,88.523552
IBM,5/11/2010,96.046219
AAPL,12/27/2010,40.63274
IBM,11/16/2017,139.368271
IBM,5/24/2013,163.979858
MSFT,3/16/2016,50.821819
IBM,12/8/2016,148.775772
MSFT,5/1/2018,93.078545
AAPL,1/4/2018,169.091522
AAPL,10/26/2018,213.804077
MSFT,2/19/2016,48.456059
AAPL,8/9/2010,32.757225
IBM,10/2/2018,148.306274
AAPL,11/30/2009,25.018137
MSFT,9/2/2015,39.986687
MSFT,8/16/2013,27.764652
MSFT,2/13/2014,33.086418
MSFT,7/22/2015,41.721962
IBM,7/26/2011,140.949661
MSFT,7/6/2010,19.048981
AAPL,6/25/2012,71.430168
MSFT,11/25/2013,33.11282
IBM,9/3/2009,86.824333
AAPL,4/18/2017,136.391006
AAPL,7/19/2010,30.73361
MSFT,3/25/2015,37.738766
AAPL,6/30/2017,139.689148
IBM,3/11/2011,124.596985
MSFT,11/8/2018,110.38752
IBM,5/25/2010,94.252327
AAPL,3/18/2009,12.704923
MSFT,3/19/2014,34.805813
IBM,3/16/2015,130.49115
AAPL,6/5/2015,119.979965
IBM,3/7/2014,151.984039
MSFT,5/17/2011,20.082514
AAPL,6/18/2009,17.004972
AAPL,2/11/2013,60.94833
MSFT,7/28/2010,20.752356
MSFT,12/6/2011,21.308105
AAPL,9/15/2015,108.934486
MSFT,4/21/2015,38.812855
MSFT,6/15/2012,25.257414
AAPL,5/27/2016,95.503456
AAPL,7/19/2011,47.161648
MSFT,12/3/2009,23.637516
MSFT,2/6/2013,23.345243
MSFT,6/26/2015,41.465439
IBM,3/27/2017,157.578522
AAPL,2/18/2010,25.396086
MSFT,8/8/2013,28.515402
IBM,2/21/2017,163.463821
IBM,8/15/2018,138.814667
IBM,8/24/2011,129.050034
MSFT,9/27/2018,113.015083
AAPL,11/5/2013,67.614296
MSFT,2/5/2018,85.817009
MSFT,3/13/2013,24.037889
AAPL,10/26/2009,25.339767
IBM,5/12/2017,137.690933
MSFT,9/21/2012,26.415649
AAPL,10/23/2012,77.089745
MSFT,6/18/2014,37.17569
AAPL,3/11/2014,69.801514
IBM,7/6/2018,135.96637
MSFT,3/4/2016,48.652424
